start_date,user,active
2016-08-23,ca392,True
2016-08-23,pae21,True
2016-08-23,sww40,True
2016-08-23,szm21,True
2016-09-06,dcsw2,True
2016-09-06,mcb71,True
2016-09-06,mf574,True
2016-09-06,sr745,True
2016-09-07,bb314,False
2016-09-08,ph448,True
2016-09-12,bs572,True
2016-09-13,av404,True
2016-09-13,cjo24,True
2016-09-13,dcp23,True
2016-09-13,rk385,True
2016-09-13,thwm100,True
2016-09-14,gg305,True
2016-09-15,ad836,True
2016-09-15,amc203,True
2016-09-15,mdb54,True
2016-09-15,pgt23,True
2016-09-15,tf320,True
2016-09-16,am315,True
2016-09-16,apd1,True
2016-09-16,gshy2,True
2016-09-16,rg404,True
2016-09-16,rmf36,True
2016-09-16,rps24,True
2016-09-19,he268,True
2016-09-19,jal58,True
2016-09-19,lab53,True
2016-09-19,mm2014,True
2016-09-19,mn437,True
2016-09-19,njc65,True
2016-09-19,nsd27,True
2016-09-19,pr270,True
2016-09-19,sw10014,True
2016-09-20,djl79,True
2016-09-20,hfc23,True
2016-09-20,hs220,True
2016-09-20,jmc99,True
2016-09-20,mfs37,True
2016-09-20,rsr33,True
2016-09-21,is269,True
2016-09-21,neb25,True
2016-09-21,rjd4,True
2016-09-21,sjb293,True
2016-09-21,sr496,True
2016-09-22,sb529,True
2016-09-22,sw587,True
2016-09-22,tb267,True
2016-09-22,vsd20,True
2016-09-23,alb84,True
2016-09-23,fm381,True
2016-09-23,hw316,True
2016-09-23,ms2165,True
2016-09-23,tjn29,True
2016-09-23,vp261,True
2016-09-23,yhbl2,True
2016-09-23,yk299,True
2016-09-24,cvhb1,True
2016-09-24,pm297,True
2016-09-24,ujk20,True
2016-09-24,wmb1001,True
2016-09-25,clw36,True
2016-09-26,aa831,True
2016-09-26,hmw20,True
2016-09-26,lc413,True
2016-09-26,ta259,True
2016-09-27,acg39,True
2016-09-27,djh1002,True
2016-09-27,hda21,True
2016-09-27,mnm21,True
2016-09-27,yas22,True
2016-09-28,acg12,True
2016-09-28,ag558,True
2016-09-28,jms212,True
2016-09-28,pak29,True
2016-09-28,pgt22,True
2016-09-29,jji23,True
2016-09-30,dlo24,True
2016-09-30,jml4,True
2016-09-30,kml23,True
2016-09-30,mww27,True
2016-09-30,rs839,True
2016-09-30,shh33,True
2016-10-02,mew10,True
2016-10-02,mmc46,True
2016-10-03,az319,True
2016-10-03,cfk23,True
2016-10-03,drs36,True
2016-10-03,glf33,True
2016-10-03,gp10006,True
2016-10-03,jn351,True
2016-10-03,mf338,True
2016-10-03,yh305,True
2016-10-04,anl1000,True
2016-10-04,apd25,True
2016-10-04,cj107,True
2016-10-04,cm896,True
2016-10-04,jmd60,True
2016-10-04,kl422,True
2016-10-04,md131,True
2016-10-04,mg299,True
2016-10-04,om307,True
2016-10-04,pfp23,True
2016-10-04,wrg11,True
2016-10-05,apw40,True
2016-10-05,as25,True
2016-10-05,as2526,True
2016-10-05,dg506,True
2016-10-05,ec571,True
2016-10-05,hoh21,True
2016-10-05,hpb29,True
2016-10-05,kg404,True
2016-10-05,lmh75,True
2016-10-05,mn332,True
2016-10-05,mn333,True
2016-10-05,mpd39,True
2016-10-05,pb413,True
2016-10-05,pm579,True
2016-10-06,or226,True
2016-10-07,aj500,True
2016-10-07,jcjb,True
2016-10-07,jr598,True
2016-10-07,pj237,True
2016-10-09,ikp1000,True
2016-10-10,afn24,True
2016-10-10,dv230,True
2016-10-10,jjm72,True
2016-10-10,jw349,True
2016-10-10,msl29,True
2016-10-10,tmf32,True
2016-10-10,yiif2,True
2016-10-11,cdd41,True
2016-10-11,cea39,True
2016-10-11,gs566,True
2016-10-11,hz268,True
2016-10-11,jap83,True
2016-10-11,jd489,True
2016-10-11,jg704,True
2016-10-11,lsb47,True
2016-10-11,pjk38,True
2016-10-11,rs803,True
2016-10-11,sr411,True
2016-10-11,vc324,True
2016-10-12,ac347,True
2016-10-12,ad327,False
2016-10-12,ajc1020,True
2016-10-12,ajs17,True
2016-10-12,am2294,True
2016-10-12,bds10,True
2016-10-12,cjp20,True
2016-10-12,ck445,True
2016-10-12,co209,True
2016-10-12,df110,True
2016-10-12,df246,True
2016-10-12,dl437,True
2016-10-12,ds139,True
2016-10-12,eh508,True
